Index,original_title,production_budget,worldwide_gross,imbd_id,budget,revenue,genres,producers,director,starring
4610,The Ten,5250000,786677,tt0811106,,785528,Comedy,David Wain,Morris S. Levy,Paul Rudd
4613,Wilson,5200000,2000000,tt1781058,5000000,653951,Drama,Jared Ian Goldman,Mary Jane Skalski,Craig Johnson
4618,My Big Fat Greek Wedding,5000000,374890034,tt0259446,5000000,368744044,Comedy,Gary Goetzman,Tom Hanks,Rita Wilson
4619,Get Out,5000000,252297405,tt5052448,5000000,252434250,Mystery,Sean McKittrick,Jason Blum,Edward H. Hamm Jr.
4620,Paranormal Activity 3,5000000,207039844,tt1778304,5000000,205703818,Horror,Jason Blum,Akiva Goldsman,Oren Peli
4621,Saw II,5000000,152925093,tt0432348,4000000,152925093,Horror,Gregg Hoffman,Oren Koules,Mark Burg
4623,Lights Out,5000000,148806510,tt4786282,4900000,148868835,Horror,James Wan,Lawrence Grey,Eric Heisserer
4624,The Visit,5000000,98677816,tt3567288,5000000,98450062,Horror,M. Night Shyamalan,Jason Blum,Marc Bienstock
4626,Paranormal Activity 4,5000000,142817992,tt2109184,5000000,142817992,Horror,Jason Blum,Oren Peli,Henry Joost
4627,Ouija,5000000,103300632,tt1204977,5000000,103590271,Horror,Jason Blum,Michael Bay,Andrew Form
4632,The Big Sick,5000000,56868677,tt5462602,5000000,52620184,Comedy,Judd Apatow,Barry Mendel,Michael Showalter
4637,Monster,5000000,64200321,tt0340855,8000000,60378584,Crime,Charlize Theron,Mark Damon,Clark Peterson
4638,Paranormal Activity: The Marked Ones,5000000,90904854,tt2473682,5000000,86362372,Horror,Jason Blum,Oren Peli,Christopher B. Landon
4639,"20,000 Leagues Under the Sea",5000000,28200000,tt0118247,15000000,,Adventure,John Davis,Joe Wiesenfeld (co-producer),Michael Anderson
4640,Oculus,5000000,44115496,tt2388715,5000000,44030246,Horror,Marc D. Evans,Trevor Macy,Jason Blum
4641,Dallas Buyers Club,5000000,60611845,tt0790636,5000000,55198285,Drama,Robbie Brenner,Rachel Winter,Jean-Marc Vallée
4642,No Escape,5000000,42844516,tt1781922,5000000,54418872,Action,Mitchel Litvak,David Lancaster,Drew Dowdle
4644,The Lazarus Effect,5000000,38359310,tt2918436,3300000,64110728,Thriller,Jason Blum,Jimmy Miller,Cody Zwieg
4645,Memento,5000000,39719431,tt0209144,9000000,39723096,Mystery,Suzanne Todd,Jennifer Todd,Christopher Nolan
4646,Our Idiot Brother,5000000,25861249,tt1637706,10000000,17273593,Comedy,Anthony Bregman,Peter Saraf,Marc Turtletaub
4648,Clerks II,5000000,27342246,tt0424345,5000000,26888376,Comedy,Scott Mosier,Kevin Smith,Brian OHalloran
4649,The Players Club,5000000,23047939,tt0119905,5000000,23300000,Drama,Patricia Charbonnet,Carl Craig,Ice Cube
4651,The Way Way Back,5000000,26853810,tt1727388,4600000,23198652,Comedy,Kevin J. Walsh,Tom Rice,Nat Faxon
4652,"As Above, So Below",5000000,41824066,tt2870612,5000000,40100000,Horror,Thomas Tull,Jon Jashni,Drew Dowdle
4654,The Apostle,5000000,21277770,tt0118632,5000000,21277770,Drama,Steven Brown,Rob Carliner,Robert Duvall (executive producer)
4656,House Party 2,5000000,19438638,tt0102065,5000000,19438638,Comedy,Doug McHenry,George Jackson,Janet Grillo
4658,Race,5000000,23745772,tt3499096,5000000,24804129,Action,Karsten Brünig,Luc Dayan,Kate Garwood
4662,Apollo 18,5000000,26517819,tt1772240,5000000,25562924,Horror,Timur Bekmambetov,Michele Wolkoff,Gonzalo López-Gallego
4664,Addicted,5000000,17499242,tt2205401,5000000,17500000,Drama,Paul Hall,Bille Woodruff,Sharon Leal
4667,Halloween: The Curse of Michael Myers,5000000,15126948,tt0113253,5000000,15116634,Horror,Paul Freeman,Joe Chappelle,Donald Pleasence
4669,Eves Bayou,5000000,14843425,tt0119080,3000000,14842388,Drama,Caldecot Chubb,Samuel L. Jackson,Mark Amin
4672,Spring Breakers,5000000,31149251,tt2101441,5000000,31724284,Drama,Chris Hanley,Jordan Gertner,David Zander
4673,It Comes at Night,5000000,19720203,tt4695012,5000000,19700000,Horror,David Kaplan,Andrea Roa,Trey Edward Shults
4676,The Haunting of Molly Hartley,5000000,15318257,tt1045655,5000000,15400000,Drama,Jennifer Hilton,Jerry P. Jacobs,Mickey Liddell
4678,Lone Star,5000000,12961389,tt0116905,5000000,13269963,Drama,R. Paul Miller,Maggie Renzi,John Sayles
4681,Before I Fall,5000000,18945682,tt1691916,5000000,10025571,Mystery,Matthew Kaplan,Brian Robbins,Jonathan Shestack
4683,Sunshine Cleaning,5000000,17329337,tt0862846,5000000,16174377,Comedy,Jeb Brody,Peter Saraf,Marc Turtletaub
4684,Fifty Shades of Black,5000000,22113075,tt4667094,20000000,21164799,Romance,Marlon Wayans,Rick Alvarez,Michael Tiddes
4688,Not Easily Broken,5000000,10732909,tt0795438,5000000,10726909,Drama,Brian Bird,T. D. Jakes,Clint Culpepper
4691,Win Win,5000000,11869063,tt1606392,10831173,10654385,Drama,Mary Jane Skalski,Michael London,Lisa Maria Falcone
4692,The Belko Experiment,5000000,11792942,tt1082807,5000000,11100000,Action,Peter Safran,James Gunn,Greg McLean
4693,The Perfect Match,5000000,10182050,tt4871980,5000000,10400000,Comedy,Yanelley Arty,Alex Avant,Johnson Chan
